EmployeeID,Name,Department,City,Age,Experience,Salary,Bonus,PerformanceRating,ProjectsCompleted,JoiningDate
368,Sneha,HR,Pune,43,14,879554,54560,4.4,17,2017-05-04
2,Meera,Sales,Hyderabad,23,2,446493,67314,1.9,19,2015-09-07
3,Arjun,HR,Ahmedabad,49,19,833408,11703,4.0,5,2021-06-09
4,Vivaan,Operations,Kolkata,27,5,1046765,35353,2.4,11,2024-05-26
5,Reyansh,Operations,Delhi,55,33,1043844,30656,3.2,20,2024-06-19
761,Rohan,Operations,Kolkata,21,0,494692,13487,1.7,15,2022-12-13
7,Sai,Marketing,Hyderabad,43,19,1655459,79986,3.8,21,2025-02-20
8,Priya,Support,Mumbai,31,3,1045775,80765,5.0,20,2023-04-22
9,Reyansh,Operations,Kolkata,35,14,911552,115162,2.1,6,2024-12-11
10,Ishita,Sales,Chennai,46,18,549623,79436,1.6,23,2023-09-09
767,Sai,Support,Chennai,44,20,540102,143569,3.0,24,2015-02-05
12,Aarav,Operations,Delhi,59,37,1056915,110039,3.4,14,2023-05-18
13,Riya,Marketing,Bengaluru,55,30,1594194,99174,1.4,13,2017-08-01
14,Neha,Support,Bengaluru,53,31,1561349,88235,4.4,16,2024-04-05
15,Ananya,HR,Mumbai,55,26,251199,167009,2.3,0,2016-06-27
16,Sneha,Marketing,Bengaluru,36,6,415165,32453,3.9,2,2023-03-05
17,Rahul,Operations,Ahmedabad,37,8,1522119,120923,4.9,17,2018-12-10
18,Meera,HR,Hyderabad,49,20,1196835,41720,2.0,2,2020-01-19
19,Pooja,HR,Pune,21,0,1734450,175439,1.2,2,2015-06-03
20,Sneha,Support,Chennai,52,28,1380855,44684,3.9,18,2024-08-08
21,Vivaan,Operations,Delhi,33,11,453278,182748,2.7,13,2021-08-28
22,Meera,Sales,Bengaluru,24,0,1777174,98946,4.2,3,2018-04-07
23,Vivaan,Operations,Mumbai,48,25,834151,131275,2.0,2,2022-09-04
24,Rahul,IT,Chennai,26,2,598779,116539,2.9,6,2021-01-06
25,Sneha,HR,Hyderabad,37,9,848210,120888,3.8,23,2023-11-23
26,Ishita,Sales,Bengaluru,39,15,372648,161828,3.9,1,2020-01-02
27,Vihaan,Marketing,Hyderabad,24,0,418005,58712,1.3,2,2025-04-13
28,Priya,Finance,Hyderabad,58,28,333344,172367,1.3,21,2024-10-17
29,Aditya,IT,Kolkata,41,17,807034,113752,1.5,20,2019-08-11
30,Aditya,HR,Ahmedabad,60,30,459675,29204,3.2,16,2019-03-12
